Name,Ticker,EPS,PE,TY,NY,Sector
SJW Corp.,SJW,31.33,13.56,(5.1),(39.9),Utilities
Sonoco Products Co.,SON,55.17,19.05,11.0 ,8.1 ,Materials
Stanley Black & Decker,SWK,48.04,21.63,17.2 ,8.0 ,Industrials
Stepan Company,SCL,26.77,14.28,(8.9),28.5 ,Materials
Sysco Corp.,SYY,76.92,25.11,(5.4),8.5 ,Consumer Staples
T. Rowe Price Group,TROW,39.73,17.77,16.1 ,8.7 ,Financials
Target Corp.,TGT,87.03,30.80,(32.1),14.5 ,Consumer Discretionary
Telephone & Data Sys.,TDS,n/a,n/a,72.0 ,56.6 ,Telecommunications
Tennant Company,TNC,34.48,28.11,(1.8),21.7 ,Industrials
Tompkins Financial Corp.,TMP,46.67,14.24,42.4 ,0.4 ,Financials
Tootsie Roll Industries,TR,31.07,30.28,19.3 ,0.0 ,Consumer Staples
UGI Corp.,UGI,44.91,19.17,20.0 ,11.6 ,Utilities
United Bankshares Inc.,UBSI,69.95,18.48,3.7 ,4.6 ,Financials
Universal Corp.,UVV,78.49,15.15,12.7 ,0.0 ,Consumer Staples
Universal Health Realty Trust,UHT,84.39,17.85,(32.5),0.0 ,Financials
Valspar Corp.,VAL,29.78,20.70,25.3 ,14.1 ,Materials
Vectren Corp.,VVC,78.35,24.70,(14.4),7.8 ,Utilities
VF Corp.,VFC,44.44,24.09,11.5 ,12.7 ,Consumer Discretionary
W.W. Grainger Inc.,GWW,37.47,20.45,16.9 ,9.8 ,Industrials
Walgreens Boots Alliance Inc.,WBA,63.68,34.79,(21.9),21.6 ,Consumer Staples
Wal-Mart Stores Inc.,WMT,40.08,17.74,(3.2),4.8 ,Consumer Discretionary
Weyco Group Inc.,WEYS,46.63,16.58,(6.4),0.0 ,Consumer Discretionary
WGL Holdings Inc.,WGL,85.85,27.56,32.3 ,6.1 ,Utilities
